id,name,district,state,latitude,longitude,phone,open_hours,is_open,created_at
m0000001-0037-4000-8000-000000000037,Namakkal Tiruchengode Market,Namakkal,Tamil Nadu,11.3851,77.8948,+91 4288 234567,05:00-11:00,true,2024-01-01 00:00:00
m0000001-0038-4000-8000-000000000038,Dindigul Batlagundu Market,Dindigul,Tamil Nadu,10.1665,77.7586,+91 4544 223456,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0039-4000-8000-000000000039,Tirunelveli Sankarankovil Market,Tirunelveli,Tamil Nadu,9.1726,77.5459,+91 4634 223456,05:30-11:30,true,2024-01-01 00:00:00
m0000001-0040-4000-8000-000000000040,Vellore Ranipet Market,Vellore,Tamil Nadu,12.9249,79.3308,+91 4172 223456,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0041-4000-8000-000000000041,Karur Kulithalai Market,Karur,Tamil Nadu,10.9322,78.4198,+91 4333 223456,05:00-11:00,true,2024-01-01 00:00:00
m0000001-0042-4000-8000-000000000042,Tiruppur Udumalaipettai Market,Tiruppur,Tamil Nadu,10.5869,77.2489,+91 4252 223456,05:30-12:00,true,2024-01-01 00:00:00
m0000001-0043-4000-8000-000000000043,Cuddalore Chidambaram Market,Cuddalore,Tamil Nadu,11.3994,79.6914,+91 4144 223456,06:00-11:30,true,2024-01-01 00:00:00
m0000001-0044-4000-8000-000000000044,Thoothukudi Kovilpatti Market,Thoothukudi,Tamil Nadu,9.1718,77.8699,+91 4632 223456,05:30-11:00,true,2024-01-01 00:00:00
m0000001-0045-4000-8000-000000000045,Krishnagiri Dharmapuri Market,Krishnagiri,Tamil Nadu,12.1357,78.1582,+91 4342 223456,05:00-11:30,true,2024-01-01 00:00:00
m0000001-0046-4000-8000-000000000046,Salem Mettur Market,Salem,Tamil Nadu,11.7894,77.8010,+91 4298 223456,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0047-4000-8000-000000000047,Erode Bhavani Market,Erode,Tamil Nadu,11.4451,77.6827,+91 4256 223456,05:30-11:30,true,2024-01-01 00:00:00
m0000001-0048-4000-8000-000000000048,Coimbatore Pollachi Market,Coimbatore,Tamil Nadu,10.6580,77.0084,+91 4259 223456,06:00-13:00,true,2024-01-01 00:00:00
m0000001-0049-4000-8000-000000000049,Madurai Usilampatti Market,Madurai,Tamil Nadu,9.9686,77.7876,+91 4556 223456,05:00-11:00,true,2024-01-01 00:00:00
m0000001-0050-4000-8000-000000000050,Trichy Lalgudi Market,Tiruchirappalli,Tamil Nadu,10.8729,78.8191,+91 431 2590123,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0051-4000-8000-000000000051,Thanjavur Pattukkottai Market,Thanjavur,Tamil Nadu,10.4264,79.3188,+91 4373 223456,05:30-11:30,true,2024-01-01 00:00:00
m0000001-0052-4000-8000-000000000052,Namakkal Mohanur Market,Namakkal,Tamil Nadu,11.0275,78.1349,+91 4287 223456,05:00-11:00,true,2024-01-01 00:00:00
m0000001-0053-4000-8000-000000000053,Dindigul Oddanchatram Market,Dindigul,Tamil Nadu,10.4904,77.7549,+91 451 2570123,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0054-4000-8000-000000000054,Tirunelveli Ambasamudram Market,Tirunelveli,Tamil Nadu,8.7108,77.4521,+91 4636 223456,05:30-11:30,true,2024-01-01 00:00:00
m0000001-0055-4000-8000-000000000055,Vellore Ambur Market,Vellore,Tamil Nadu,12.7925,78.7162,+91 4174 223456,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0056-4000-8000-000000000056,Karur Manapparai Market,Karur,Tamil Nadu,10.6078,78.4297,+91 4326 223456,05:00-11:00,true,2024-01-01 00:00:00
m0000001-0057-4000-8000-000000000057,Tiruppur Dharapuram Market,Tiruppur,Tamil Nadu,10.7381,77.5321,+91 4258 223456,05:30-12:00,true,2024-01-01 00:00:00
m0000001-0058-4000-8000-000000000058,Cuddalore Virudhachalam Market,Cuddalore,Tamil Nadu,11.5115,79.3207,+91 4146 223456,06:00-11:30,true,2024-01-01 00:00:00
m0000001-0059-4000-8000-000000000059,Thoothukudi Srivaikundam Market,Thoothukudi,Tamil Nadu,8.6293,77.9125,+91 4639 223456,05:30-11:00,true,2024-01-01 00:00:00
m0000001-0060-4000-8000-000000000060,Krishnagiri Pochampalli Market,Krishnagiri,Tamil Nadu,12.5621,77.8443,+91 4347 223456,05:00-11:30,true,2024-01-01 00:00:00
